"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.6800734616412e-19,0.969867490362406,0.407,0.344,1.9345337042528e-14,"0","ZNF609"
8.23609343809281e-19,0.352190270189157,0.74,0.691,2.0745895761212e-14,"0","UTRN"
2.04925897388195e-18,0.780591747063378,0.478,0.415,5.16187842931123e-14,"0","PPP3CA"
2.41937536130602e-18,0.8953785434276,0.386,0.312,6.09416459759373e-14,"0","PPP1R12A"
2.42378234657107e-18,1.10765427612768,0.297,0.213,6.10526535277787e-14,"0","XKR6"
1.78115037558523e-17,0.947272421133331,0.364,0.291,4.48653968106165e-13,"0","CCNH"
3.32007930515186e-17,0.89718306033264,0.404,0.339,8.36294776174702e-13,"0","VTI1A"
4.06582678482417e-17,0.73076807867543,0.487,0.432,1.02414110882936e-12,"0","RBMS1"
5.96739626254582e-17,1.03732411054781,0.328,0.253,1.50312744457267e-12,"0","CLASP1"
1.6341034073863e-15,0.831306462347591,0.401,0.343,4.11614307286536e-11,"0","ZCCHC7"
5.21688213406043e-15,0.539202502722664,0.325,0.233,1.31408044074848e-10,"0","RNF149"
5.79009541936146e-15,0.941933181148657,0.313,0.242,1.45846713518296e-10,"0","PRRC2B"
7.51555606048017e-15,0.728356242524425,0.276,0.193,1.89309341607435e-10,"0","CEMIP2"
1.3802693485208e-14,0.589466949388121,0.279,0.187,3.47676046198905e-10,"0","MT-ND4"
1.91299517217977e-14,0.958686528767852,0.386,0.339,4.81864353920363e-10,"0","FBXL17"
2.26658670017235e-14,0.776946757769143,0.32,0.241,5.70930523906413e-10,"0","RFTN1"
1.0404531679451e-13,0.91207239314652,0.316,0.251,2.62079748473691e-09,"0","BBX"
1.08041681314889e-13,1.01597242454458,0.327,0.268,2.72146191064074e-09,"0","PHC3"
1.74566725793444e-13,0.968648143706345,0.275,0.206,4.39716125601107e-09,"0","PPP3CC"
2.51974293044002e-13,0.671441102908211,0.5,0.476,6.34698046748537e-09,"0","VPS13B"
2.54955652568139e-13,1.05738564270919,0.284,0.221,6.42207793253886e-09,"0","RNF38"
8.15911249158578e-13,0.977848481529705,0.295,0.232,2.05519884550554e-08,"0","TANK"
1.53003567494986e-12,0.734520785404253,0.322,0.248,3.85400686163121e-08,"0","ARID5B"
2.76461555416636e-12,0.750125872632308,0.423,0.388,6.96379011938965e-08,"0","BPTF"
4.5010217706129e-12,0.748065022232288,0.427,0.393,1.13376237379968e-07,"0","KANSL1"
7.57866440166861e-12,0.740752762286769,0.348,0.284,1.90898977613631e-07,"0","TAOK3"
8.31398710667359e-12,0.972700149112969,0.279,0.22,2.09421021230001e-07,"0","DENND1B"
8.7853631897273e-12,0.89373343428821,0.283,0.22,2.21294513386041e-07,"0","KIF13B"
1.13895292857334e-11,1.00988104123131,0.252,0.191,2.86890853178338e-07,"0","ANKRD36"
1.91662762812965e-11,0.626730932870206,0.463,0.444,4.82779333249578e-07,"0","BIRC6"
2.965728170807e-11,0.792833138022797,0.285,0.22,7.47037268944576e-07,"0","ATP2B4"
4.21063026525019e-11,0.929668391396765,0.305,0.253,1.06061565751387e-06,"0","R3HDM2"
7.27514196539639e-11,0.841177919636932,0.319,0.269,1.8325355096637e-06,"0","OGA"
1.01172393182839e-10,0.864807223838261,0.279,0.22,2.54843141188253e-06,"0","OGT"
1.15800261929703e-10,0.738646078520716,0.355,0.305,2.91689279774729e-06,"0","RAP1B"
1.17005796457369e-10,0.842965635313656,0.305,0.253,2.94725900696467e-06,"0","USP3"
1.63955262425539e-10,0.97114759637408,0.3,0.249,4.12986910523691e-06,"0","RNF19A"
2.12473081542106e-10,1.05410341529289,0.27,0.22,5.35198445096411e-06,"0","XPO1"
3.11777939754856e-10,0.903128001497926,0.252,0.196,7.85337452448507e-06,"0","MECP2"
3.76773535458103e-10,0.386361491289263,0.385,0.318,9.49054858465416e-06,"0","RAPGEF1"
6.52942693625597e-10,0.512819462023852,0.556,0.534,1.64469735097352e-05,"0","MAML2"
